RoomID,Building,Capacity,Features
R101,Lab Building,63,Lab;Whiteboard;Projector
R102,CS Building,50,Whiteboard;Lab;Projector
R103,Lab Building,80,Whiteboard;Projector
R104,Main Building,100,Projector;Lab
R105,Lab Building,80,Projector;Whiteboard
R106,Lab Building,80,Projector;Whiteboard
R107,Main Building,60,Projector;Whiteboard;Lab
R108,Main Building,50,Projector;Lab
R109,Main Building,50,Lab;Projector;Whiteboard
R110,Main Building,80,Whiteboard;Lab
R111,Eng Block,60,Projector;Whiteboard;Lab
R112,Lab Building,100,Lab;Projector
R113,Main Building,100,Projector;Whiteboard;Lab
R114,CS Building,80,Lab;Projector
R115,CS Building,60,Lab;Whiteboard;Projector
R116,Main Building,100,Lab;Whiteboard
R117,CS Building,60,Lab;Projector
R118,Lab Building,50,Projector;Whiteboard
R119,Lab Building,60,Whiteboard;Projector;Lab
R120,CS Building,80,Projector;Whiteboard
R121,Main Building,60,Lab;Whiteboard;Projector
R122,Lab Building,60,Whiteboard;Projector
R123,CS Building,100,Whiteboard;Projector;Lab
R124,CS Building,60,Projector;Whiteboard;Lab
