RoomID,Building,Capacity,Features
R101,CS Building,65,Projector;Whiteboard;Lab
R102,Lab Building,50,Whiteboard;Projector;Lab
R103,Lab Building,100,Projector;Lab
R104,Main Building,60,Whiteboard;Projector
R105,Eng Block,60,Lab;Whiteboard;Projector
R106,Main Building,50,Projector;Whiteboard
R107,CS Building,50,Whiteboard;Lab
R108,Main Building,100,Whiteboard;Lab
R109,Main Building,100,Projector;Whiteboard
R110,Eng Block,60,Projector;Whiteboard;Lab
R111,Lab Building,50,Lab;Whiteboard
R112,CS Building,50,Whiteboard;Lab
R113,CS Building,50,Lab;Whiteboard
R114,Lab Building,80,Whiteboard;Lab
R115,Eng Block,100,Whiteboard;Lab
R116,CS Building,60,Projector;Lab;Whiteboard
