RoomID,Building,Capacity,Features
R101,CS Building,63,Whiteboard;Projector;Lab
R102,Main Building,80,Projector;Whiteboard
R103,CS Building,50,Whiteboard;Projector
R104,Lab Building,80,Whiteboard;Lab;Projector
R105,CS Building,60,Whiteboard;Projector
R106,CS Building,80,Projector;Lab;Whiteboard
R107,Main Building,100,Projector;Whiteboard;Lab
R108,Lab Building,60,Whiteboard;Lab
R109,Main Building,80,Whiteboard;Lab
R110,CS Building,60,Whiteboard;Lab
R111,Lab Building,50,Projector;Lab
R112,CS Building,100,Projector;Lab
R113,CS Building,80,Whiteboard;Projector;Lab
R114,Main Building,60,Lab;Whiteboard
R115,Main Building,50,Whiteboard;Lab
R116,Lab Building,100,Projector;Whiteboard;Lab
